Date,stocktotal,stockgasoline,stockdistilled,pricegasoline,pricedistilled,consgasoline,consdistilled,gdp
"May 19, 2000",203561,159959,97422,65772,60144,58856,26509,10278.3
"May 26, 2000",201075,157474,98075,66318,60102,63525,25599,10278.3
"Jun 02, 2000",201348,157567,102540,67158,59598,62041,22575,10278.3
"Jun 09, 2000",202699,158360,104943,69888,59262,58821,22932,10278.3
"Jun 16, 2000",202768,157746,103444,71862,59766,62265,26985,10278.3
"Jun 23, 2000",204280,159269,103772,71022,60144,59325,24472,10278.3
"Jun 30, 2000",204522,159021,103748,69762,61026,60340,26222,10278.3
"Jul 07, 2000",205147,160617,108480,68460,60858,59633,21175,10357.4
"Jul 14, 2000",205638,161249,109263,66612,60270,61908,24227,10357.4
"Jul 21, 2000",206907,161699,110409,65604,59808,58527,23940,10357.4
"Jul 28, 2000",206253,162971,110720,63588,59136,60298,24731,10357.4
"Aug 04, 2000",204582,160763,110192,63168,59220,61313,25270,10357.4
"Aug 11, 2000",202442,158503,111475,62538,60774,61691,25214,10357.4
"Aug 18, 2000",201200,158066,112399,63336,61782,61502,25585,10357.4
"Aug 25, 2000",196372,154185,112427,63882,64512,62720,25942,10357.4
"Sep 01, 2000",195498,151924,112317,65856,67578,60508,27146,10357.4
"Sep 08, 2000",191795,149382,114584,67116,68418,60011,25081,10357.4
"Sep 15, 2000",187566,145680,115937,67158,69426,61698,25578,10357.4
"Sep 22, 2000",190559,149068,114941,66612,69594,57071,28168,10357.4
"Sep 29, 2000",195621,154836,114194,65646,68250,54733,28007,10357.4
"Oct 06, 2000",195840,154170,113691,64722,67788,58380,25942,10472.3
"Oct 13, 2000",193261,152254,112799,66276,70140,60641,27972,10472.3
"Oct 20, 2000",192240,151552,112211,66696,69216,60228,29197,10472.3
"Oct 27, 2000",188097,147300,113556,66528,68418,62594,25767,10472.3
"Nov 03, 2000",186147,145155,115710,65730,67620,61460,26278,10472.3
"Nov 10, 2000",189003,148037,115161,65604,67326,57512,29680,10472.3
"Nov 17, 2000",188941,148803,114934,65100,68334,58933,27258,10472.3
"Nov 24, 2000",191190,151339,116609,65058,69090,56441,26103,10472.3
"Dec 01, 2000",195234,155263,120045,64092,68124,57631,24269,10472.3
"Dec 08, 2000",196568,156036,115290,62580,66234,60977,32809,10472.3
"Dec 15, 2000",198983,157989,116188,61404,64890,59325,26537,10472.3
"Dec 22, 2000",196401,156240,114693,61026,63630,58800,29239,10472.3
"Dec 29, 2000",193771,153097,116064,60732,63924,60851,27993,10472.3
"Jan 05, 2001",195663,153844,116761,61530,63840,54775,32039,10508.1
"Jan 12, 2001",198713,153468,115174,63546,63378,57575,30233,10508.1
